/* DATA DESCRIPTION:
	TARA_20090923T1811Z_007_EVENT_NET ([day] [deep chlorophyll maximum layer (ENVO:010003) * LATITUDE START: 37.018000 * LONGITUDE START: 1.947600 * LATITUDE END: 37.014100 * LONGITUDE END: 1.947100 * DATE/TIME START: 2009-09-23T18:11:00 * DATE/TIME END: 2009-09-23T18:24:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-180]+[SIEVE-2000]) * COMMENT: Device: material from the net was poured through a [SIEVE-2000] type=metal, shape=pan, mesh size (µm)=2000, diameter (cm)=30]
	TARA_20090923T1832Z_007_EVENT_NET ([day] [deep chlorophyll maximum layer (ENVO:010003) * LATITUDE START: 37.011200 * LONGITUDE START: 1.946000 * LATITUDE END: 37.008500 * LONGITUDE END: 1.945200 * DATE/TIME START: 2009-09-23T18:32:00 * DATE/TIME END: 2009-09-23T18:45:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5 ([NET-DOUBLE-20]+[SIEVE-180]) * COMMENT: Device: material from the net was poured through a [SIEVE-180] type=metal, shape=pan, mesh size (µm)=180, diameter (cm)=30]
	TARA_20090928T1218Z_009_EVENT_PUMP ([day] [surface water layer (ENVO:00002042)]) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090928T1218Z_009_EVENT_PUMP.pdf) * LATITUDE START: 39.163300 * LONGITUDE START: 5.916000 * LATITUDE END: 39.078400 * LONGITUDE END: 5.802900 * DATE/TIME START: 2009-09-28T12:18:00 * DATE/TIME END: 2009-09-28T14:18:00 * CAMPAIGN: TARA_20090926Z (Algiers to Barcelona, Stations: TARA_008-011) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: High Volume Peristaltic Pump ([HVP-PUMP]) * COMMENT: Logsheet: (Sardet, Carmichael, Probert, Le Goff) 2.3 knots drift]
	TARA_20090928T1508Z_009_EVENT_NET ([day] [surface water layer (ENVO:00002042)] [proti) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090928T1508Z_009_EVENT_NET.pdf) * LATITUDE START: 39.085600 * LONGITUDE START: 5.792700 * LATITUDE END: 39.086300 * LONGITUDE END: 5.788000 * DATE/TIME START: 2009-09-28T15:08:00 * DATE/TIME END: 2009-09-28T15:14:00 * CAMPAIGN: TARA_20090926Z (Algiers to Barcelona, Stations: TARA_008-011) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-180]+[SIEVE-2000]) * COMMENT: Device: material from the net was poured through a [SIEVE-2000] type=metal, shape=pan, mesh size (µm)=2000, diameter (cm)=30]
	TARA_20090928T1522Z_009_EVENT_NET ([day] [deep chlorophyll maximum layer (ENVO:010003) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090928T1522Z_009_EVENT_NET.pdf) * LATITUDE START: 39.086200 * LONGITUDE START: 5.780000 * LATITUDE END: 39.086800 * LONGITUDE END: 5.776000 * DATE/TIME START: 2009-09-28T15:22:00 * DATE/TIME END: 2009-09-28T15:27:00 * CAMPAIGN: TARA_20090926Z (Algiers to Barcelona, Stations: TARA_008-011) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-180]+[SIEVE-2000]) * COMMENT: Device: material from the net was poured through a [SIEVE-2000] type=metal, shape=pan, mesh size (µm)=2000, diameter (cm)=30] [Logsheet: (Sardet, Carmichael, Probert, Le Goff) IMAGING: Most abundant: Chaetognaths/ Siphonophores/ Copepods/ Heliozoans/ few Appendicularians]
	TARA_20090928T1659Z_009_EVENT_PUMP ([day] [deep chlorophyll maximum layer (ENVO:010003) * LATITUDE START: 39.060900 * LONGITUDE START: 5.942200 * LATITUDE END: 39.085700 * LONGITUDE END: 5.821500 * DATE/TIME START: 2009-09-28T16:59:00 * DATE/TIME END: 2009-09-28T19:36:00 * CAMPAIGN: TARA_20090926Z (Algiers to Barcelona, Stations: TARA_008-011) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: High Volume Peristaltic Pump ([HVP-PUMP]) * COMMENT: Logsheet: (Sardet, Carmichael, Probert, Le Goff) 90m cable out/ no logsheet] [Curator: No EVENT Logsheet]
	TARA_20091004T0830Z_011_EVENT_PUMP ([day] [surface water layer (ENVO:00002042)]) * LATITUDE: 41.668600 * LONGITUDE: 2.799600 * DATE/TIME: 2009-10-04T08:30:00 * CAMPAIGN: TARA_20090926Z (Algiers to Barcelona, Stations: TARA_008-011) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: High Volume Peristaltic Pump ([HVP-PUMP]) * COMMENT: Logsheet: (Sardet, Carmichael, Probert, Le Goff) Moored at the Blanes station] [Curator: No EVENT Logsheet]
	TARA_20091004T1416Z_011_EVENT_NET ([day] [surface water layer (ENVO:00002042)] [proti) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20091004T1416Z_011_EVENT_NET.pdf) * LATITUDE START: 41.666600 * LONGITUDE START: 2.796200 * LATITUDE END: 41.668500 * LONGITUDE END: 2.795800 * DATE/TIME START: 2009-10-04T14:16:00 * DATE/TIME END: 2009-10-04T14:22:00 * CAMPAIGN: TARA_20090926Z (Algiers to Barcelona, Stations: TARA_008-011) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-180]+[SIEVE-2000]) * COMMENT: Device: material from the net was poured through a [SIEVE-2000] type=metal, shape=pan, mesh size (µm)=2000, diameter (cm)=30] [Logsheet: (Acinas, Carmichael) wait for 5 min/ PROTIST NET/ see Ecxel file]
	TARA_20091004T1530Z_011_EVENT_NET ([day] [surface water layer (ENVO:00002042)] [proti) * LATITUDE: 41.666300 * LONGITUDE: 2.799400 * DATE/TIME: 2009-10-04T15:30:00 * CAMPAIGN: TARA_20090926Z (Algiers to Barcelona, Stations: TARA_008-011) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5 ([NET-DOUBLE-20]+[SIEVE-180]) * COMMENT: Device: material from the net was poured through a [SIEVE-180] type=metal, shape=pan, mesh size (µm)=180, diameter (cm)=30] [Logsheet: (Acinas, Carmichael) wait for 5 min/ PROTIST NET/ see Ecxel file] [Curator: No EVENT Logsheet/ Time and Position approximated based on the sampling plan]
	TARA_20091027T0822Z_016_EVENT_PUMP ([day] [surface water layer (ENVO:00002042)]) * LATITUDE START: 37.495600 * LONGITUDE START: 15.494500 * LATITUDE END: 37.467800 * LONGITUDE END: 15.479000 * DATE/TIME START: 2009-10-27T08:22:00 * DATE/TIME END: 2009-10-27T09:44:00 * CAMPAIGN: TARA_20091025Z (Naples to Valetta, Stations: TARA_015-017) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: High Volume Peristaltic Pump ([HVP-PUMP]) * COMMENT: [Curator: No EVENT Logsheet]
